origin;destination;num_orders
SAN GIOVANNI IN CROCE;MONTE CREMASCO;47
SOLAROLO RAINERIO;SAN GIOVANNI IN CROCE;47
RIVOLTA D'ADDA;FIESCO;47
Agnadello;PANDINO;46
BAGNOLO CREMASCO;SERGNANO;46
CREMA;BONEMERSE;46
RIVOLTA D'ADDA;SOLAROLO RAINERIO;46
PIADENA DRIZZONA;CASALMAGGIORE;46
SPINO D'ADDA;RICENGO;46
RIVOLTA D'ADDA;CASALBUTTANO;46
CASALMAGGIORE;TRESCORE CREMASCO;46
MADIGNANO;SONCINO;46
BONEMERSE;BRESCIA;45
CREMA;VAIANO CREMASCO;45
VESCOVATO;RIVOLTA D'ADDA;45
SORESINA;PANDINO;45
PESCAROLO ED UNITI;MADIGNANO;45
PANDINO;MONTE CREMASCO;45
PIZZIGHETTONE;MADIGNANO;45
IZANO;BRESCIA;45
CAPERGNANICA;PANDINO;44
CAPERGNANICA;OFFANENGO;44
SOLAROLO RAINERIO;PERSICO DOSIMO;44
SONCINO;Agnadello;44
CAPRALBA;CASTELLEONE;44
RIVOLTA D'ADDA;PALAZZO PIGNANO;44
BAGNOLO CREMASCO;CAPERGNANICA;44
CASALMAGGIORE;CAPRALBA;44
RIVOLTA D'ADDA;CINGIA DE' BOTTI;43
CREMA;UNIONE MUNICIPIA;43
PESCAROLO ED UNITI;MONTODINE;43
CASALMAGGIORE;CINGIA DE' BOTTI;43
PESCAROLO ED UNITI;CASTELLEONE;43
IZANO;CREMA;43
FIESCO;OFFANENGO;43
SOLAROLO RAINERIO;CINGIA DE' BOTTI;43
PALAZZO PIGNANO;Agnadello;43
PIADENA DRIZZONA;RICENGO;43
CASTELLEONE;TRIGOLO;43
ROMANENGO;PANDINO;43
PERSICO DOSIMO;OFFANENGO;43
OFFANENGO;CENTRO FUMETTO A. PAZIENZA;42
MADIGNANO;SORESINA;42
SPINO D'ADDA;PIADENA DRIZZONA;42
GRUMELLO CREMONESE;BRESCIA;42
PANDINO;MADIGNANO;42
PIADENA DRIZZONA;PESCAROLO ED UNITI;42
SPINO D'ADDA;MONTODINE;42
SORESINA;Agnadello;42
BRESCIA;Cremona-M.I.T.O.;42
PANDINO;CASTELLEONE;42
OFFANENGO;GUSSOLA;41
CASALMAGGIORE;PIZZIGHETTONE;41
SPINO D'ADDA;PESCAROLO ED UNITI;41
CASTELLEONE;ROMANENGO;41
SERGNANO;ISOLA DOVARESE;41
VESCOVATO;CASTELLEONE;41
VESCOVATO;SOSPIRO;41
CENTRO FUMETTO A. PAZIENZA;VESCOVATO;41
SAN GIOVANNI IN CROCE;SORESINA;41
SAN GIOVANNI IN CROCE;CASTELLEONE;40
CASALMAGGIORE;UNIONE MUNICIPIA;40
Agnadello;CASTELLEONE;40
DOVERA;SONCINO;40
BRESCIA;RIVAROLO DEL RE;40
CREMA;GUSSOLA;40
SERGNANO;DOVERA;40
GADESCO PIEVE DELMONA;SAN GIOVANNI IN CROCE;40
PIADENA DRIZZONA;RIPALTA CREMASCA;39
UNIONE MUNICIPIA;PANDINO;39
PANDINO;SOSPIRO;39
CAPRALBA;PESCAROLO ED UNITI;39
GADESCO PIEVE DELMONA;CREMONA - CDA;39
CREMA;CASALBUTTANO;39
SERGNANO;SERGNANO;39
PIANENGO;MONTE CREMASCO;39
ROMANENGO;SONCINO;38
SAN GIOVANNI IN CROCE;RIPALTA CREMASCA;38
SONCINO;RIVOLTA D'ADDA;38
PALAZZO PIGNANO;RIPALTA CREMASCA;38
CAPRALBA;RIPALTA CREMASCA;38
VESCOVATO;PESCAROLO ED UNITI;38
CAPRALBA;MONTE CREMASCO;38
SERGNANO;BONEMERSE;38
GADESCO PIEVE DELMONA;RIVOLTA D'ADDA;38
SOLAROLO RAINERIO;CAPRALBA;38
SERGNANO;CENTRO FUMETTO A. PAZIENZA;38
BRESCIA;ANNICCO;38
SERGNANO;PIZZIGHETTONE;38
BAGNOLO CREMASCO;CREMONA - CDA;37
PESCAROLO ED UNITI;Agnadello;37
SOSPIRO;OFFANENGO;37
CASALMAGGIORE;DOVERA;37
PALAZZO PIGNANO;SOSPIRO;37
PIZZIGHETTONE;SOSPIRO;37
PIADENA DRIZZONA;Agnadello;37
SOLAROLO RAINERIO;SOSPIRO;37
GADESCO PIEVE DELMONA;CASTELLEONE;37
PALAZZO PIGNANO;CASTELLEONE;37
SESTO ED UNITI;CREMA;37
GADESCO PIEVE DELMONA;SPINO D'ADDA;37
MONTE CREMASCO;MONTE CREMASCO;37
SORESINA;CASTELLEONE;36
SOLAROLO RAINERIO;PIANENGO;36
VESCOVATO;MONTE CREMASCO;36
BAGNOLO CREMASCO;DOVERA;36
PIZZIGHETTONE;CASTELLEONE;36
TRIGOLO;OFFANENGO;36
BAGNOLO CREMASCO;VAIANO CREMASCO;36
SERGNANO;SOLAROLO RAINERIO;36
OFFANENGO;FIESCO;36
PANDINO;SORESINA;36
SAN GIOVANNI IN CROCE;PESCAROLO ED UNITI;36
CASALMAGGIORE;BONEMERSE;36
SAN GIOVANNI IN CROCE;SPINO D'ADDA;36
CASALMAGGIORE;CENTRO FUMETTO A. PAZIENZA;36
SERGNANO;CINGIA DE' BOTTI;36
OSTIANO;OFFANENGO;36
BAGNOLO CREMASCO;UNIONE MUNICIPIA;36
CREMA;ANNICCO;35
PALAZZO PIGNANO;SPINO D'ADDA;35
PIANENGO;MADIGNANO;35
SOLAROLO RAINERIO;MONTODINE;35
SONCINO;RIPALTA CREMASCA;35
GRONTARDO;SONCINO;35
VESCOVATO;SPINO D'ADDA;35
PALAZZO PIGNANO;MONTODINE;35
SORESINA;RIVOLTA D'ADDA;35
PIANENGO;CASTELLEONE;35
SAN GIOVANNI IN CROCE;PERSICO DOSIMO;35
CENTRO FUMETTO A. PAZIENZA;OFFANENGO;35
BAGNOLO CREMASCO;PIZZIGHETTONE;34
VESCOVATO;VESCOVATO;34
SAN GIOVANNI IN CROCE;MONTODINE;34
SPINO D'ADDA;SAN GIOVANNI IN CROCE;34
SONCINO;SOSPIRO;34
GRONTARDO;SORESINA;34
CAPERGNANICA;MONTE CREMASCO;34
SPINO D'ADDA;PERSICO DOSIMO;34
PIADENA DRIZZONA;CINGIA DE' BOTTI;34
TRESCORE CREMASCO;MADIGNANO;34
RIVOLTA D'ADDA;UNIONE MUNICIPIA;33
UNIONE MUNICIPIA;CINGIA DE' BOTTI;33
PESCAROLO ED UNITI;SOSPIRO;33
SORESINA;RIPALTA CREMASCA;33
FIESCO;SORESINA;33
BRESCIA;VAILATE;33
